127.0.0.1 - - [02/Feb/2019:11:00:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:00:40 +0530] "GET /otp/ HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:00:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:01:09 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:01:09 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:11 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:11 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:33 +0530] "POST /otp/otpprocess.jsp HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:49 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:51 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:02:51 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:03:11 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:03:11 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:16:38 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:16:52 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:16:52 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:22:53 +0530] "GET /otp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:23:09 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:23:09 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:24:20 +0530] "POST /otp/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2019:11:24:20 +0530] "GET /otp/otp.jsp HTTP/1.1" 200 400
