127.0.0.1 - - [01/Mar/2019:20:01:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:01:40 +0530] "GET /ajax/ HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:01:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:23 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:23 +0530] "GET /ajax/index.jsp?val=1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:23 +0530] "GET /ajax/index.jsp?val=101 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:41 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:41 +0530] "GET /ajax/index.jsp?val=102 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:43 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:43 +0530] "GET /ajax/index.jsp?val=103 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:44 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:45 +0530] "GET /ajax/index.jsp?val=104 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:46 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:47 +0530] "GET /ajax/index.jsp?val=105 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:53 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:02:53 +0530] "GET /ajax/index.jsp?val=104 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:03:14 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:03:14 +0530] "GET /ajax/index.jsp?val=106 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:01 +0530] "GET /ajax/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:01 +0530] "GET /ajax/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:02 +0530] "GET /ajax/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:04 +0530] "GET /ajax/index.jsp?val=1 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:04 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:04 +0530] "GET /ajax/index.jsp?val=101 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:06 +0530] "GET /ajax/index.jsp?val=10 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:04:07 +0530] "GET /ajax/index.jsp?val=106 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:13 +0530] "GET /ajax/index1.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:19 +0530] "GET /ajax/index1.jsp?val=rj HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:22 +0530] "GET /ajax/index1.jsp?val=cg HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:31 +0530] "GET /ajax/index1.jsp?val=mp HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:59 +0530] "GET /ajax/index1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:12:59 +0530] "GET /ajax/index1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:00 +0530] "GET /ajax/index1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:00 +0530] "GET /ajax/index1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:03 +0530] "GET /ajax/index1.jsp?val=up HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:05 +0530] "GET /ajax/index1.jsp?val=rj HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:08 +0530] "GET /ajax/index1.jsp?val=mp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:13:11 +0530] "GET /ajax/index1.jsp?val=cg HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [01/Mar/2019:20:14:58 +0530] "GET /ajax/index1.jsp?val=mp HTTP/1.1" 200 118
